file_name,Transcription,phrase,merged_prompt,word_error_rate,character_error_rate
1249120_44246595_89466082.wav, i often get a stomach ache after i eat i havent been able to pinpoint which foods may be the trigger,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,Digestive issues,0.0476,0.0583
1249120_44246595_101823153.wav, i feel pain in my right shoulder after the tennis match,i feel pain in my right shoulder after the tennis match,Wound and injury,0.0,0.0182
1249120_44246595_94621639.wav, i feel pain inside i do not know what it is,i feel pain inside i do not know what it is,Internal pain,0.0,0.0233
1249120_44246595_89680770.wav, i dont have the energy to do the things that i used to,i dont have the energy to do the things that i used to,General weakness,0.0,0.0185
1249120_44246595_107248522.wav, i notice an important decrease in my vision when i try to look at things up close,i noticed an important decrease in my vision when i try to look at things up close,Sensory issues,0.0588,0.0244
1249120_44246595_77258445.wav, i was playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle,Wound and injury,0.0,0.0233
1249120_44246595_99457284.wav, when i eat i feel my stomach hurts,when i eat i feel my stomach hurts,Digestive issues,0.0,0.0294
1249120_44246595_85567147.wav, when i get up i see my skin vag,when i get up i see my skin vague,Hair and skin issues,0.1111,0.0909
1249120_44246595_76562955.wav, when i go to stand my head starts swirling,when i go to stand my head starts swirling,Dizziness and vertigo,0.0,0.0238
1249120_44246595_92310242.wav, i wake up at night feeling cold,i wake up at night feeling cold,Feeling cold/hot,0.0,0.0323
1249120_44246595_89098147.wav, i dont know why im constantly sad,i dont know why im constantly sad,Emotional and mental health,0.0,0.0303
1249120_44246595_105657955.wav, i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining,Muscle and joint pain,0.0,0.02
1249120_44246595_95208403.wav, i cant stand this horrible feeling in my stomach,i cant stand with this horrible feeling in my stomach,Digestive issues,0.1,0.1132
1249120_44246595_86895734.wav, surgical wound infections,surgical wound infections,Wound and injury,0.0,0.04
1249120_44246595_95549576.wav, i have issue with my skin,i have issue with my skin,Hair and skin issues,0.0,0.04
1249120_44246595_108705425.wav, i have a foot ache although i dont walk a lot,i have a foot ache although i dont walk a lot,Leg and foot pain,0.0,0.0222
1249120_44246595_92462780.wav, he was discovered to have an open wound,he was discovered to have an open wound,Wound and injury,0.0,0.0256
1249120_44246595_95437414.wav, i feel shoulder pain at intervals of time,i feel shoulder pain at intervals of time,Shoulder pain,0.0,0.0244
1249120_44259428_55288440.wav, my chest is very comfortable my chest is very simple and my head is very comfortable,my chest break out with red pimples and whiteheads,Hair and skin issues,1.4444,1.08
1249120_44259428_19293556.wav, my business dont take action after i went to the gym,my biceps started aching after i went to the gym,Muscle and joint pain,0.4,0.3333
1249120_44259428_50949983.wav, i have an internal pain i cannot describe,i have an internal pain i cannot describe,Internal pain,0.0,0.0244
1249120_44259428_19250068.wav, im not feeling good i cant take my breath,im not feeling good i cant take my breath,,0.0,0.0244
1249120_44259428_25649773.wav, i cant breathe,i cant breathe,Respiratory issue,0.0,0.0714
1249120_44259428_45992221.wav, i feel pain in my stomach,i feel pain in my stomach,Digestive issues,0.0,0.04
1249120_44259428_49203869.wav, i feel depressed when i see my hair falling out,i feel depressed when i see my hair falling out,Hair and skin issues,0.0,0.0213
1249120_44259428_45195927.wav, i have problem in my shoulder,i have throbing in my shoulder,Shoulder pain,0.1667,0.2
1249120_44259428_54532216.wav, i feel hard there are pain in my head,i feel hurt lot of pain in my heart,Emotional and mental health,0.4444,0.3714
1249120_44259428_58709056.wav, when i do hard exercises i feel great pain in my muscles,when i do hard exercises i feel great pain in my muscles,Muscle and joint pain,0.0,0.0179
1249120_44259428_100658896.wav, i have a legacy in my head,i have a dull ache in my head,,0.25,0.2414
1249120_44259428_56567581.wav, i go straight in the head price out of less than nine,i was kicked in the head playing soccer last night,Wound and injury,0.8,0.62
1249120_44259428_34993210.wav, i feel very weak in my body,i feel very weak in my body,General weakness,0.0,0.037
1249120_44259428_100443017.wav, their pain is my fault,there pain in my foot,Leg and foot pain,0.6,0.3333
1249120_44259428_17428469.wav, i feel pain in my neck when i climb the stairs,i feel pain in my knee when i climb the stairs,Muscle and joint pain,0.0909,0.087
1249120_44259428_105662498.wav, i was playing basketball yesterday i had a sprained ankle,i was playing basketball yesterday i have sprained ankle,Wound and injury,0.2222,0.0714
1249120_44259428_53172278.wav, i have a blurry vision since i woke up this morning what could be the reason,i have a blurry vision since i woke up this morning what could be the reason,Sensory issues,0.0,0.0132
1249120_44259428_46472982.wav, my favorite cup badly every now and then around my side,my face break out badly every month around my cycle,Hair and skin issues,0.7,0.4314
1249120_44259428_39681967.wav, grounding uses of iron for lignite on st marys gland,chronic disease of hair follicles and sebaceous glands,Hair and skin issues,1.125,0.5741
1249120_44259428_67815432.wav, ive had this cough for two weeks,ive had this cough for two weeks,Respiratory issue,0.0,0.0312
1249120_44259428_56194683.wav, i have a driver,i have a dry throat,Respiratory issue,0.4,0.4211
1249120_44259428_58867514.wav, i talked about things but i still feel the same skin problem,i tried alot of cream but i still feel the same skin problem,Hair and skin issues,0.3077,0.2333
1249120_44259428_108477882.wav, many cars are back to grow that is they are eating more than i should,my knees hurt so bad to walk that i stay sitting more than i should,Leg and foot pain,0.6667,0.4328
1249120_44259428_53848525.wav, i can move my head up and down,i cant move my head up and down,"Neck, back or spinal issues",0.125,0.0645
1249120_44259428_38940948.wav, i think also we are in summer,i feel cold although we are in summer,Feeling cold/hot,0.375,0.4054
